NIT,Razón social de la sociedad,CIIU,Departamento de la dirección del domicilio,Fecha de Corte,Activos corrientes totales (CurrentAssets),Pasivos corrientes totales (CurrentLiabilities),Total de activos (Assets),Total pasivos (Liabilities),Patrimonio total (Equity),Ganancia (pérdida) por actividades de operación (ProfitLossFromOperatingActivities),Ingresos de actividades ordinarias (Revenue),Ganancia (pérdida) (ProfitLoss),dya,cfo,capex_ppe,capex_int,anio,capital_trabajo,ebitda,fcl,tamano,ebitda_margen,margen_neto,roa,apalancamiento,razon_corriente,ebitda_wz,capital_trabajo_wz,fcl_wz,ebitda_neg,capital_trabajo_neg,fcl_neg,periodo,ciiu_2d,margen_ebitda_rel_sector,apalancamiento_rel_sector,depto_norm,semaforo,activos_calc,error_contable,error_contable_pct,inconsistente
800020220,AGROINDUSTRIAL MOLINO SONORA AP SAS,C1051 - Elaboración de productos de molinería,BOGOTA D.C.,2017-12-31,126681606.0,25078519.0,179308373.0,136081032.0,43227341.0,13667558.0,269749240.0,1343974.0,4138363.0,11669461.0,2492081.0,,2017,101603087.0,17805921.0,9177380.0,Grande,6.600916095259435,0.4982308754604832,0.7495322039423112,75.89217933509441,5.051399008051472,17805921.0,101603087.0,9177380.0,False,False,False,Pre-pandemia (2017-2019),C1,-2.675636385994026,21.468819206020214,"BOGOTA, D.C.",Sano,179308373.0,0.0,0.0,False
800020706,NALSANI SAS,"C1513 - Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",BOGOTA D.C.,2017-12-31,243614710.0,245433484.0,395045409.0,308341771.0,86703638.0,58748164.0,454052384.0,33594667.0,8392332.0,-18080137.0,9093878.0,1317000.0,2017,-1818774.0,67140496.0,-28491015.0,Grande,14.786949340188906,7.39885268392292,8.504001371649911,78.05223500268548,0.9925895441389733,67140496.0,-1818774.0,-28491015.0,False,True,True,Pre-pandemia (2017-2019),C1,5.5103968589354455,23.62887487361128,"BOGOTA, D.C.",Alerta,395045409.0,0.0,0.0,False
800021013,CENTRO ACEROS S.A.S.,C2511 - Fabricación de productos metálicos para uso estructural,ANTIOQUIA,2017-12-31,29321026.0,23163454.0,38941355.0,25510652.0,13430703.0,3585265.0,53318857.0,658607.0,830982.0,6702834.0,412475.0,265553.0,2017,6157572.0,4416247.0,6024806.0,Mediana,8.28271131168472,1.2352234032323686,1.6912791041811464,65.51043742571362,1.2658313393158032,4416247.0,6157572.0,6024806.0,False,False,False,Pre-pandemia (2017-2019),C2,-2.202718003905991,15.884825844005306,ANTIOQUIA,Sano,38941355.0,0.0,0.0,False
800021137,AGRICOLA SARA PALMA S.A.,A0122 - Cultivo de plátano y banano,ANTIOQUIA,2017-12-31,26460402.0,30295972.0,287969058.0,91457567.0,196511491.0,-3877826.0,125045454.0,-139358.0,11019541.0,17908358.0,24528760.0,,2017,-3835570.0,7141715.0,-6620402.0,Grande,5.711295190307358,-0.11144587471368611,-0.048393393709681126,31.75951181532844,0.8733967010531961,7141715.0,-3835570.0,-6620402.0,False,True,True,Pre-pandemia (2017-2019),A0,-4.748500387384133,-8.81745326260307,ANTIOQUIA,Alerta,287969058.0,0.0,0.0,False
800021308,DRUMMOND LTD,B0510 - Extracción de hulla (carbón de piedra),BOGOTA D.C.,2017-12-31,1368654420.0,1133689484.0,7931239677.0,2680487953.0,5250751724.0,688455009.0,5551465037.0,68011719.0,654388514.0,1395897829.0,347551307.0,384508.0,2017,234964936.0,1342843523.0,1047962014.0,Grande,24.188993608895533,1.2251129845312578,0.8575168797032939,33.796582402788985,1.207256871759075,235952994.99999937,234964936.0,136407445.79999998,False,False,False,Pre-pandemia (2017-2019),B0,3.9095786219600335,0.3474770352015071,"BOGOTA, D.C.",Sano,7931239677.0,0.0,0.0,False
800021390,GEOMATRIX SAS,C1311 - Preparación e hilatura de fibras textiles,BOGOTA D.C.,2017-12-31,21435317.0,11934140.0,36763856.0,11934140.0,24829716.0,-552725.0,21914401.0,631735.0,548891.0,-1807434.0,1483343.0,,2017,9501177.0,-3834.0,-3290777.0,Mediana,-0.017495344727880082,2.8827390719007107,1.7183589229595502,32.461611208573984,1.7961341998669365,-3834.0,9501177.0,-3290777.0,True,False,True,Pre-pandemia (2017-2019),C1,-9.294047825981341,-21.961748920500213,"BOGOTA, D.C.",Riesgo alto,36763856.0,0.0,0.0,False
800021599,COLIBRI FLOWERS SA,A0125 - Cultivo de flor de corte,CUNDINAMARCA,2017-12-31,18844436.0,16806075.0,39867720.0,23497285.0,16370435.0,5395906.0,45651683.0,3267036.0,270477.0,479322.0,259941.0,,2017,2038361.0,5666383.0,219381.0,Mediana,12.412210520256176,7.156441527029791,8.19468983929856,58.93812086570288,1.121287153603682,5666383.0,2038361.0,219381.0,False,False,False,Pre-pandemia (2017-2019),A0,1.952414942564685,18.361155787771366,CUNDINAMARCA,Sano,39867720.0,0.0,0.0,False
800022051,AGROPECUARIA LOS CUNAS S.A.S.,A0122 - Cultivo de plátano y banano,ANTIOQUIA,2017-12-31,4486107.0,2236526.0,38407916.0,5190764.0,33217152.0,3085217.0,13611454.0,3828878.0,218235.0,1647454.0,89459.0,,2017,2249581.0,3303452.0,1557995.0,Mediana,24.2696481948218,28.12982360297438,9.968981394356309,13.51482855773794,2.0058371778374138,3303452.0,2249581.0,1557995.0,False,False,False,Pre-pandemia (2017-2019),A0,13.80985261713031,-27.06213652019357,ANTIOQUIA,Sano,38407916.0,0.0,0.0,False
800022398,FLORES DE TENJO SAS CI,A0125 - Cultivo de flor de corte,ANTIOQUIA,2017-12-31,3708850.0,1229472.0,28747845.0,10616084.0,18131761.0,569217.0,13609545.0,-301337.0,266756.0,935494.0,266758.0,,2017,2479378.0,835973.0,668736.0,Mediana,6.142549218214128,-2.214159253670861,-1.0482072656228667,36.92827758045864,3.0166201426303325,835973.0,2479378.0,668736.0,False,False,False,Pre-pandemia (2017-2019),A0,-4.3172463594773625,-3.6486874974728707,ANTIOQUIA,Sano,28747845.0,0.0,0.0,False
800023543,ACEITAR LTDA,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",BOGOTA D.C.,2017-12-31,950264.0,1100222.0,2361946.0,1459615.0,902331.0,520537.0,11609844.0,111749.0,29522.0,-171388.0,,,2017,-149958.0,550059.0,-171388.0,Pequeña,4.737867278836822,0.9625366197857612,4.731225862064585,61.79713676773305,0.8637020528584232,550059.0,-149958.0,-171388.0,False,True,True,Pre-pandemia (2017-2019),G4,-0.10092874829146936,-3.19640759037091,"BOGOTA, D.C.",Alerta,2361946.0,0.0,0.0,False
